Date,Visitor,Visitor Goals,Home,Home Goals,Extra,Attendance,Length
2017-03-19,Minnesota Wild,4,Winnipeg Jets,5,Regular,15294,159
2017-03-20,San Jose Sharks,0,Dallas Stars,1,Regular,17687,146
2017-03-20,Buffalo Sabres,2,Detroit Red Wings,1,Regular,20027,151
2017-03-20,Los Angeles Kings,0,Edmonton Oilers,2,Regular,18347,147
2017-03-20,Arizona Coyotes,1,Nashville Predators,3,Regular,17113,149
2017-03-20,Boston Bruins,2,Toronto Maple Leafs,4,Regular,19347,158
2017-03-21,Ottawa Senators,3,Boston Bruins,2,Regular,17565,157
2017-03-21,Pittsburgh Penguins,3,Buffalo Sabres,1,Regular,18313,150
2017-03-21,Vancouver Canucks,5,Chicago Blackhawks,4,OT,21607,162
2017-03-21,St. Louis Blues,4,Colorado Avalanche,2,Regular,11687,144
2017-03-21,Carolina Hurricanes,4,Florida Panthers,3,Regular,10793,144
2017-03-21,San Jose Sharks,2,Minnesota Wild,3,Regular,19104,146
2017-03-21,Detroit Red Wings,2,Montreal Canadiens,1,OT,21288,156
2017-03-21,New York Rangers,2,New Jersey Devils,3,OT,16514,167
2017-03-21,Arizona Coyotes,5,Tampa Bay Lightning,3,Regular,19092,152
2017-03-21,Philadelphia Flyers,2,Winnipeg Jets,3,Regular,15294,153
2017-03-21,Calgary Flames,2,Washington Capitals,4,Regular,18506,144
2017-03-22,Edmonton Oilers,3,Anaheim Ducks,4,Regular,15310,158
2017-03-22,Toronto Maple Leafs,5,Columbus Blue Jackets,2,Regular,16106,151
2017-03-22,New York Islanders,3,New York Rangers,2,Regular,18006,157
2017-03-23,Tampa Bay Lightning,6,Boston Bruins,3,Regular,17565,168
2017-03-23,Dallas Stars,2,Chicago Blackhawks,3,SO,21798,160
2017-03-23,Edmonton Oilers,7,Colorado Avalanche,4,Regular,14142,144
2017-03-23,Arizona Coyotes,1,Florida Panthers,3,Regular,11338,149
2017-03-23,Winnipeg Jets,2,Los Angeles Kings,5,Regular,18230,151
2017-03-23,Philadelphia Flyers,3,Minnesota Wild,1,Regular,19004,144
2017-03-23,Carolina Hurricanes,4,Montreal Canadiens,1,Regular,21288,146
2017-03-23,Calgary Flames,1,Nashville Predators,3,Regular,17324,147
2017-03-23,Pittsburgh Penguins,1,Ottawa Senators,2,SO,18102,169
2017-03-23,Vancouver Canucks,1,St. Louis Blues,4,Regular,19356,153
2017-03-23,New Jersey Devils,2,Toronto Maple Leafs,4,Regular,19142,160
2017-03-23,Columbus Blue Jackets,1,Washington Capitals,2,SO,18506,164
2017-03-24,Winnipeg Jets,1,Anaheim Ducks,3,Regular,15647,150
2017-03-24,San Jose Sharks,1,Dallas Stars,6,Regular,17265,145
2017-03-24,Tampa Bay Lightning,2,Detroit Red Wings,1,OT,20027,161
2017-03-24,New York Islanders,4,Pittsburgh Penguins,3,SO,18659,165
2017-03-25,Toronto Maple Leafs,2,Buffalo Sabres,5,Regular,19070,154
2017-03-25,Philadelphia Flyers,0,Columbus Blue Jackets,1,Regular,19052,148
2017-03-25,Colorado Avalanche,1,Edmonton Oilers,4,Regular,18347,148
2017-03-25,Chicago Blackhawks,0,Florida Panthers,7,Regular,18625,151
2017-03-25,New York Rangers,3,Los Angeles Kings,0,Regular,18230,148
2017-03-25,Vancouver Canucks,4,Minnesota Wild,2,Regular,19184,149
2017-03-25,Ottawa Senators,1,Montreal Canadiens,3,Regular,21288,152
2017-03-25,Carolina Hurricanes,3,New Jersey Devils,1,Regular,15088,142
2017-03-25,San Jose Sharks,2,Nashville Predators,7,Regular,17282,159
2017-03-25,Boston Bruins,2,New York Islanders,1,Regular,15795,148
2017-03-25,Calgary Flames,3,St. Louis Blues,2,OT,19516,156
2017-03-25,Arizona Coyotes,1,Washington Capitals,4,Regular,18506,142
2017-03-26,New York Rangers,3,Anaheim Ducks,6,Regular,17174,156
2017-03-26,Minnesota Wild,2,Detroit Red Wings,3,OT,20027,154
2017-03-26,Dallas Stars,2,New Jersey Devils,1,OT,14711,144
2017-03-26,Philadelphia Flyers,6,Pittsburgh Penguins,2,Regular,18654,149
2017-03-26,Vancouver Canucks,1,Winnipeg Jets,2,Regular,15294,148
2017-03-27,Florida Panthers,2,Buffalo Sabres,4,Regular,18564,154
2017-03-27,Detroit Red Wings,4,Carolina Hurricanes,3,OT,11516,153
2017-03-27,Colorado Avalanche,2,Calgary Flames,4,Regular,17785,144
2017-03-27,Nashville Predators,3,New York Islanders,1,Regular,11671,155
2017-03-27,Arizona Coyotes,1,St. Louis Blues,4,Regular,19164,141
2017-03-27,Chicago Blackhawks,4,Tampa Bay Lightning,5,OT,19092,152
2017-03-28,Nashville Predators,1,Boston Bruins,4,Regular,17565,185
2017-03-28,Detroit Red Wings,1,Carolina Hurricanes,4,Regular,9427,143
2017-03-28,Buffalo Sabres,1,Columbus Blue Jackets,3,Regular,14533,149
2017-03-28,Los Angeles Kings,1,Edmonton Oilers,2,Regular,18347,151
2017-03-28,Washington Capitals,5,Minnesota Wild,4,OT,19188,161
2017-03-28,Dallas Stars,1,Montreal Canadiens,4,Regular,21288,149
2017-03-28,Winnipeg Jets,4,New Jersey Devils,3,SO,12315,167
2017-03-28,Ottawa Senators,2,Philadelphia Flyers,3,SO,19706,162
2017-03-28,New York Rangers,4,San Jose Sharks,5,OT,17562,149
2017-03-28,Florida Panthers,2,Toronto Maple Leafs,3,Regular,19278,153
2017-03-28,Anaheim Ducks,4,Vancouver Canucks,1,Regular,18262,147
2017-03-29,St. Louis Blues,3,Arizona Coyotes,1,Regular,11377,145
2017-03-29,Los Angeles Kings,4,Calgary Flames,1,Regular,19005,167
2017-03-29,Washington Capitals,5,Colorado Avalanche,3,Regular,13820,143
2017-03-29,Chicago Blackhawks,5,Pittsburgh Penguins,1,Regular,18657,148
2017-03-30,Dallas Stars,0,Boston Bruins,2,Regular,17565,149
2017-03-30,Columbus Blue Jackets,1,Carolina Hurricanes,2,OT,11881,147
2017-03-30,San Jose Sharks,2,Edmonton Oilers,3,Regular,18347,148
2017-03-30,Ottawa Senators,1,Minnesota Wild,5,Regular,19044,149
2017-03-30,Florida Panthers,2,Montreal Canadiens,6,Regular,21288,154
2017-03-30,Toronto Maple Leafs,3,Nashville Predators,1,Regular,17214,152
2017-03-30,New York Islanders,3,Philadelphia Flyers,6,Regular,19703,165
2017-03-30,Detroit Red Wings,3,Tampa Bay Lightning,5,Regular,19092,148
2017-03-30,Anaheim Ducks,3,Winnipeg Jets,4,OT,15294,163
2017-03-31,Washington Capitals,3,Arizona Coyotes,6,Regular,14290,153
2017-03-31,San Jose Sharks,2,Calgary Flames,5,Regular,19289,151
2017-03-31,Columbus Blue Jackets,1,Chicago Blackhawks,3,Regular,22112,141
2017-03-31,St. Louis Blues,1,Colorado Avalanche,2,SO,14763,151
2017-03-31,New Jersey Devils,1,New York Islanders,2,Regular,13766,160
2017-03-31,Pittsburgh Penguins,4,New York Rangers,3,SO,18006,164
2017-03-31,Los Angeles Kings,2,Vancouver Canucks,0,Regular,18865,141
2017-04-01,Florida Panthers,2,Boston Bruins,5,Regular,17565,150
2017-04-01,Dallas Stars,3,Carolina Hurricanes,0,Regular,14201,138
2017-04-01,Toronto Maple Leafs,5,Detroit Red Wings,4,Regular,20027,157
2017-04-01,Anaheim Ducks,2,Edmonton Oilers,3,OT,18347,157
2017-04-01,Minnesota Wild,0,Nashville Predators,3,Regular,17113,161
2017-04-01,New Jersey Devils,0,Philadelphia Flyers,3,Regular,19911,165
2017-04-01,Montreal Canadiens,2,Tampa Bay Lightning,1,OT,19092,152
2017-04-01,Ottawa Senators,2,Winnipeg Jets,4,Regular,15294,148
2017-04-02,New York Islanders,4,Buffalo Sabres,2,Regular,19070,147
2017-04-02,Washington Capitals,3,Columbus Blue Jackets,2,Regular,18247,155
2017-04-02,Anaheim Ducks,4,Calgary Flames,3,Regular,18945,147
2017-04-02,Boston Bruins,3,Chicago Blackhawks,2,Regular,22131,156
2017-04-02,Arizona Coyotes,2,Los Angeles Kings,1,Regular,18230,156
2017-04-02,Colorado Avalanche,2,Minnesota Wild,5,Regular,19164,147
2017-04-02,Philadelphia Flyers,3,New York Rangers,4,Regular,18006,142
2017-04-02,Carolina Hurricanes,2,Pittsburgh Penguins,3,Regular,18631,145
2017-04-02,Nashville Predators,1,St. Louis Blues,4,Regular,19262,158
2017-04-02,Dallas Stars,3,Tampa Bay Lightning,6,Regular,19092,158
2017-04-02,San Jose Sharks,3,Vancouver Canucks,1,Regular,18295,134
2017-04-03,Toronto Maple Leafs,4,Buffalo Sabres,2,Regular,18829,160
2017-04-03,Ottawa Senators,4,Detroit Red Wings,5,SO,20027,168
2017-04-03,Montreal Canadiens,4,Florida Panthers,1,Regular,15222,147
2017-04-04,Calgary Flames,1,Anaheim Ducks,3,Regular,15125,165
2017-04-04,Tampa Bay Lightning,0,Boston Bruins,4,Regular,17565,145
2017-04-04,Chicago Blackhawks,3,Colorado Avalanche,4,OT,16203,153
2017-04-04,Arizona Coyotes,2,Dallas Stars,3,OT,16876,148
2017-04-04,Edmonton Oilers,4,Los Angeles Kings,6,Regular,18230,148
2017-04-04,Carolina Hurricanes,3,Minnesota Wild,5,Regular,18848,150
2017-04-04,Philadelphia Flyers,0,New Jersey Devils,1,OT,13861,147
2017-04-04,New York Islanders,2,Nashville Predators,1,OT,17113,145
2017-04-04,Detroit Red Wings,0,Ottawa Senators,2,Regular,17166,145
2017-04-04,Columbus Blue Jackets,1,Pittsburgh Penguins,4,Regular,18632,143
2017-04-04,Vancouver Canucks,1,San Jose Sharks,3,Regular,17459,146
2017-04-04,Winnipeg Jets,5,St. Louis Blues,2,Regular,19178,150
2017-04-04,Washington Capitals,4,Toronto Maple Leafs,1,Regular,19415,146
2017-04-05,Montreal Canadiens,1,Buffalo Sabres,2,Regular,18815,140
2017-04-05,New York Rangers,0,Washington Capitals,2,Regular,18506,144
2017-04-06,Chicago Blackhawks,0,Anaheim Ducks,4,Regular,16462,148
2017-04-06,Vancouver Canucks,3,Arizona Coyotes,4,Regular,11959,144
2017-04-06,Ottawa Senators,2,Boston Bruins,1,SO,17565,158
2017-04-06,New York Islanders,3,Carolina Hurricanes,0,Regular,9769,137
2017-04-06,Winnipeg Jets,5,Columbus Blue Jackets,4,Regular,16447,143
2017-04-06,Minnesota Wild,4,Colorado Avalanche,3,Regular,15565,153
2017-04-06,Nashville Predators,7,Dallas Stars,3,Regular,17543,147
2017-04-06,St. Louis Blues,6,Florida Panthers,3,Regular,13194,144
2017-04-06,Calgary Flames,4,Los Angeles Kings,1,Regular,18230,148
2017-04-06,Pittsburgh Penguins,7,New Jersey Devils,4,Regular,14012,150
2017-04-06,Edmonton Oilers,4,San Jose Sharks,2,Regular,17562,148
2017-04-06,Tampa Bay Lightning,4,Toronto Maple Leafs,1,Regular,19380,167
2017-04-07,Tampa Bay Lightning,4,Montreal Canadiens,2,Regular,21288,152
2017-04-08,Minnesota Wild,3,Arizona Coyotes,1,Regular,17490,146
2017-04-08,Washington Capitals,3,Boston Bruins,1,Regular,17565,154
2017-04-08,St. Louis Blues,5,Carolina Hurricanes,4,SO,13509,165
2017-04-08,Colorado Avalanche,3,Dallas Stars,4,SO,18532,168
2017-04-08,Montreal Canadiens,3,Detroit Red Wings,2,OT,20027,143
2017-04-08,Buffalo Sabres,0,Florida Panthers,3,Regular,17235,142
2017-04-08,Chicago Blackhawks,2,Los Angeles Kings,3,OT,18230,151
2017-04-08,New York Islanders,4,New Jersey Devils,2,Regular,16514,143
2017-04-08,New York Rangers,1,Ottawa Senators,3,Regular,18976,149
2017-04-08,Columbus Blue Jackets,2,Philadelphia Flyers,4,Regular,19789,138
2017-04-08,Calgary Flames,1,San Jose Sharks,3,Regular,17562,136
2017-04-08,Pittsburgh Penguins,3,Toronto Maple Leafs,5,Regular,19561,152
2017-04-08,Edmonton Oilers,3,Vancouver Canucks,2,Regular,18865,143
2017-04-08,Nashville Predators,1,Winnipeg Jets,2,Regular,15294,153
2017-04-09,Los Angeles Kings,3,Anaheim Ducks,4,OT,16564,158
2017-04-09,New Jersey Devils,1,Detroit Red Wings,4,Regular,20027,150
2017-04-09,Vancouver Canucks,2,Edmonton Oilers,5,Regular,18347,159
2017-04-09,Ottawa Senators,2,New York Islanders,4,Regular,13303,137
2017-04-09,Pittsburgh Penguins,2,New York Rangers,3,Regular,18006,149
2017-04-09,Carolina Hurricanes,4,Philadelphia Flyers,3,SO,19559,149
2017-04-09,Colorado Avalanche,2,St. Louis Blues,3,Regular,18971,147
2017-04-09,Buffalo Sabres,2,Tampa Bay Lightning,4,Regular,19092,147
2017-04-09,Columbus Blue Jackets,3,Toronto Maple Leafs,2,Regular,19369,153
2017-04-09,Florida Panthers,2,Washington Capitals,0,Regular,18506,113
2017-10-04,Calgary Flames,0,Edmonton Oilers,3,Regular,18347,154
2017-10-04,St. Louis Blues,5,Pittsburgh Penguins,4,OT,18652,158
2017-10-04,Philadelphia Flyers,5,San Jose Sharks,3,Regular,17562,147
2017-10-04,Toronto Maple Leafs,7,Winnipeg Jets,2,Regular,15321,153
2017-10-05,Arizona Coyotes,4,Anaheim Ducks,5,Regular,17174,158
2017-10-05,Nashville Predators,3,Boston Bruins,4,Regular,17565,159
2017-10-05,Montreal Canadiens,3,Buffalo Sabres,2,SO,19070,169
2017-10-05,Pittsburgh Penguins,1,Chicago Blackhawks,10,Regular,21705,155
2017-10-05,Philadelphia Flyers,0,Los Angeles Kings,2,Regular,18230,157
2017-10-05,Colorado Avalanche,4,New York Rangers,2,Regular,18006,147
2017-10-05,Washington Capitals,5,Ottawa Senators,4,SO,17009,163
2017-10-06,New York Islanders,0,Columbus Blue Jackets,5,Regular,18595,145
2017-10-06,Vegas Golden Knights,2,Dallas Stars,1,Regular,18532,161
2017-10-06,Florida Panthers,3,Tampa Bay Lightning,5,Regular,19092,152
2017-10-07,Philadelphia Flyers,3,Anaheim Ducks,2,OT,16032,150
2017-10-07,Vegas Golden Knights,2,Arizona Coyotes,1,OT,17125,156
2017-10-07,Minnesota Wild,4,Carolina Hurricanes,5,SO,18680,174
2017-10-07,Winnipeg Jets,3,Calgary Flames,6,Regular,19289,152
2017-10-07,Columbus Blue Jackets,1,Chicago Blackhawks,5,Regular,21264,143
2017-10-07,Tampa Bay Lightning,4,Florida Panthers,5,Regular,16871,166
2017-10-07,Colorado Avalanche,1,New Jersey Devils,4,Regular,16514,144
2017-10-07,Buffalo Sabres,3,New York Islanders,6,Regular,15234,155
2017-10-07,Detroit Red Wings,2,Ottawa Senators,1,SO,14883,164
2017-10-07,Nashville Predators,0,Pittsburgh Penguins,4,Regular,18645,158
2017-10-07,Los Angeles Kings,4,San Jose Sharks,1,Regular,17562,151
2017-10-07,Dallas Stars,2,St. Louis Blues,4,Regular,18858,152
2017-10-07,New York Rangers,5,Toronto Maple Leafs,8,Regular,19621,168
2017-10-07,Edmonton Oilers,2,Vancouver Canucks,3,Regular,18865,156
2017-10-07,Montreal Canadiens,1,Washington Capitals,6,Regular,18506,159
2017-10-08,Montreal Canadiens,0,New York Rangers,2,Regular,18006,149
2017-10-09,Calgary Flames,2,Anaheim Ducks,0,Regular,15485,141
2017-10-09,Colorado Avalanche,4,Boston Bruins,0,Regular,17565,148
2017-10-09,New Jersey Devils,6,Buffalo Sabres,2,Regular,17697,146
2017-10-09,Winnipeg Jets,5,Edmonton Oilers,2,Regular,18347,154
2017-10-09,St. Louis Blues,3,New York Islanders,2,SO,10673,159
2017-10-09,Washington Capitals,3,Tampa Bay Lightning,4,OT,19092,166
2017-10-09,Chicago Blackhawks,3,Toronto Maple Leafs,4,OT,19456,159
2017-10-10,Columbus Blue Jackets,2,Carolina Hurricanes,1,OT,7892,157
2017-10-10,Detroit Red Wings,2,Dallas Stars,4,Regular,18119,162
2017-10-10,Chicago Blackhawks,3,Montreal Canadiens,1,Regular,21302,148
2017-10-10,Philadelphia Flyers,5,Nashville Predators,6,Regular,17194,160
2017-10-10,St. Louis Blues,3,New York Rangers,1,Regular,18006,150
2017-10-10,Ottawa Senators,3,Vancouver Canucks,2,SO,17273,165
2017-10-10,Arizona Coyotes,2,Vegas Golden Knights,5,Regular,18191,153
2017-10-11,New York Islanders,2,Anaheim Ducks,3,Regular,14553,154
2017-10-11,Boston Bruins,3,Colorado Avalanche,6,Regular,18011,158
2017-10-11,Calgary Flames,4,Los Angeles Kings,3,OT,18230,160
2017-10-11,New Jersey Devils,6,Toronto Maple Leafs,3,Regular,19103,159
2017-10-11,Pittsburgh Penguins,3,Washington Capitals,2,Regular,18506,154
2017-10-12,Detroit Red Wings,4,Arizona Coyotes,2,Regular,13584,156
2017-10-12,Minnesota Wild,5,Chicago Blackhawks,2,Regular,21386,154
2017-10-12,St. Louis Blues,2,Florida Panthers,5,Regular,10846,163
2017-10-12,Dallas Stars,1,Nashville Predators,4,Regular,17113,152
2017-10-12,Buffalo Sabres,2,San Jose Sharks,3,Regular,17402,150
2017-10-12,Pittsburgh Penguins,4,Tampa Bay Lightning,5,Regular,19092,162
2017-10-12,Winnipeg Jets,4,Vancouver Canucks,2,Regular,15589,152
2017-10-13,New York Rangers,1,Columbus Blue Jackets,3,Regular,15342,148
2017-10-13,Ottawa Senators,6,Calgary Flames,0,Regular,19289,153
2017-10-13,Anaheim Ducks,1,Colorado Avalanche,3,Regular,15393,157
2017-10-13,Washington Capitals,5,New Jersey Devils,2,Regular,13458,155
2017-10-13,Detroit Red Wings,6,Vegas Golden Knights,3,Regular,17645,146
2017-10-14,Boston Bruins,6,Arizona Coyotes,2,Regular,14810,151
2017-10-14,Nashville Predators,1,Chicago Blackhawks,2,OT,21564,159
2017-10-14,Colorado Avalanche,1,Dallas Stars,3,Regular,17967,153
2017-10-14,Ottawa Senators,6,Edmonton Oilers,1,Regular,18347,150
2017-10-14,Buffalo Sabres,2,Los Angeles Kings,4,Regular,18230,151
2017-10-14,Columbus Blue Jackets,5,Minnesota Wild,4,OT,19064,160
2017-10-14,Toronto Maple Leafs,4,Montreal Canadiens,3,OT,21302,159
2017-10-14,New Jersey Devils,3,New York Rangers,2,Regular,18006,150
2017-10-14,Washington Capitals,2,Philadelphia Flyers,8,Regular,19817,152
2017-10-14,Florida Panthers,3,Pittsburgh Penguins,4,Regular,18582,157
2017-10-14,New York Islanders,3,San Jose Sharks,1,Regular,17562,142
2017-10-14,St. Louis Blues,1,Tampa Bay Lightning,2,Regular,19092,146
2017-10-14,Calgary Flames,5,Vancouver Canucks,2,Regular,17074,153
2017-10-14,Carolina Hurricanes,1,Winnipeg Jets,2,Regular,15321,148
2017-10-15,Buffalo Sabres,3,Anaheim Ducks,1,Regular,15821,155
2017-10-15,New York Islanders,2,Los Angeles Kings,3,Regular,18230,142
2017-10-15,Boston Bruins,1,Vegas Golden Knights,3,Regular,17562,151
2017-10-17,Arizona Coyotes,1,Dallas Stars,3,Regular,16007,147
2017-10-17,Carolina Hurricanes,5,Edmonton Oilers,3,Regular,18347,148
2017-10-17,Tampa Bay Lightning,4,New Jersey Devils,5,SO,13176,164
2017-10-17,Colorado Avalanche,1,Nashville Predators,4,Regular,17113,149
2017-10-17,Pittsburgh Penguins,5,New York Rangers,4,OT,18006,156
2017-10-17,Vancouver Canucks,3,Ottawa Senators,0,Regular,13430,152
2017-10-17,Florida Panthers,1,Philadelphia Flyers,5,Regular,19145,154
2017-10-17,Montreal Canadiens,2,San Jose Sharks,5,Regular,17377,148
2017-10-17,Buffalo Sabres,4,Vegas Golden Knights,5,OT,17617,166
2017-10-17,Columbus Blue Jackets,5,Winnipeg Jets,2,Regular,15321,142
2017-10-17,Toronto Maple Leafs,2,Washington Capitals,0,Regular,18506,144
2017-10-18,Montreal Canadiens,1,Los Angeles Kings,5,Regular,18230,159
2017-10-18,Chicago Blackhawks,2,St. Louis Blues,5,Regular,18752,149
2017-10-18,Detroit Red Wings,3,Toronto Maple Leafs,6,Regular,19158,154
2017-10-19,Dallas Stars,5,Arizona Coyotes,4,Regular,11225,148
2017-10-19,Vancouver Canucks,3,Boston Bruins,6,Regular,17565,154
2017-10-19,Tampa Bay Lightning,2,Columbus Blue Jackets,0,Regular,13155,143
2017-10-19,Carolina Hurricanes,2,Calgary Flames,1,Regular,18119,145
2017-10-19,Edmonton Oilers,2,Chicago Blackhawks,1,OT,21444,157
2017-10-19,St. Louis Blues,4,Colorado Avalanche,3,Regular,13890,148
2017-10-19,New York Islanders,4,New York Rangers,3,SO,18006,168
2017-10-19,New Jersey Devils,5,Ottawa Senators,4,OT,13364,168
2017-10-19,Nashville Predators,1,Philadelphia Flyers,0,Regular,19396,142
2017-10-20,Montreal Canadiens,2,Anaheim Ducks,6,Regular,17174,168
2017-10-20,Vancouver Canucks,4,Buffalo Sabres,2,Regular,18050,159
2017-10-20,Pittsburgh Penguins,4,Florida Panthers,3,Regular,15756,161
2017-10-20,San Jose Sharks,3,New Jersey Devils,0,Regular,14381,145
2017-10-20,Minnesota Wild,3,Winnipeg Jets,4,Regular,15321,153
2017-10-21,Chicago Blackhawks,4,Arizona Coyotes,2,Regular,13777,160
2017-10-21,Buffalo Sabres,5,Boston Bruins,4,OT,17565,163
2017-10-21,Los Angeles Kings,6,Columbus Blue Jackets,4,Regular,15329,156
2017-10-21,Minnesota Wild,4,Calgary Flames,2,Regular,18436,154
2017-10-21,Carolina Hurricanes,3,Dallas Stars,4,Regular,18023,149
2017-10-21,San Jose Sharks,3,New York Islanders,5,Regular,11877,144
2017-10-21,Nashville Predators,2,New York Rangers,4,Regular,17181,141
2017-10-21,Toronto Maple Leafs,3,Ottawa Senators,6,Regular,17455,161
2017-10-21,Edmonton Oilers,1,Philadelphia Flyers,2,Regular,19510,141
2017-10-21,Pittsburgh Penguins,1,Tampa Bay Lightning,7,Regular,19092,156
2017-10-21,St. Louis Blues,2,Vegas Golden Knights,3,OT,17883,169
2017-10-21,Florida Panthers,4,Washington Capitals,1,Regular,18506,161
2017-10-23,San Jose Sharks,4,New York Rangers,1,Regular,18006,141
2017-10-23,Los Angeles Kings,2,Toronto Maple Leafs,3,Regular,19235,163
2017-10-24,Detroit Red Wings,0,Buffalo Sabres,1,Regular,16882,152
2017-10-24,Tampa Bay Lightning,5,Carolina Hurricanes,1,Regular,10498,148
2017-10-24,Dallas Stars,3,Colorado Avalanche,5,Regular,12823,150
2017-10-24,Vancouver Canucks,1,Minnesota Wild,0,Regular,18694,152
2017-10-24,Florida Panthers,1,Montreal Canadiens,5,Regular,21302,147
2017-10-24,Calgary Flames,3,Nashville Predators,2,SO,17113,173
2017-10-24,Arizona Coyotes,3,New York Islanders,5,Regular,9795,154
2017-10-24,Los Angeles Kings,3,Ottawa Senators,2,SO,14034,165
2017-10-24,Anaheim Ducks,6,Philadelphia Flyers,2,Regular,18895,150
2017-10-24,Edmonton Oilers,1,Pittsburgh Penguins,2,OT,18625,147
2017-10-24,Chicago Blackhawks,2,Vegas Golden Knights,4,Regular,18108,149
2017-10-25,Buffalo Sabres,1,Columbus Blue Jackets,5,Regular,14383,156
2017-10-25,Calgary Flames,2,St. Louis Blues,5,Regular,17227,143
2017-10-26,San Jose Sharks,1,Boston Bruins,2,Regular,17565,151
2017-10-26,Dallas Stars,4,Edmonton Oilers,5,Regular,18347,159
2017-10-26,Anaheim Ducks,3,Florida Panthers,8,Regular,10545,153
2017-10-26,New York Islanders,4,Minnesota Wild,6,Regular,18824,152
2017-10-26,Los Angeles Kings,4,Montreal Canadiens,0,Regular,21302,154
2017-10-26,Arizona Coyotes,2,New York Rangers,5,Regular,18006,150
2017-10-26,Philadelphia Flyers,4,Ottawa Senators,5,Regular,14926,159
2017-10-26,Winnipeg Jets,1,Pittsburgh Penguins,2,OT,18445,154
2017-10-26,Detroit Red Wings,2,Tampa Bay Lightning,3,Regular,19092,147
2017-10-26,Carolina Hurricanes,6,Toronto Maple Leafs,3,Regular,19070,152
2017-10-26,Washington Capitals,2,Vancouver Canucks,6,Regular,18293,154
2017-10-27,St. Louis Blues,2,Carolina Hurricanes,1,Regular,10069,150
2017-10-27,Winnipeg Jets,1,Columbus Blue Jackets,2,OT,14224,153
2017-10-27,Dallas Stars,2,Calgary Flames,1,Regular,18873,152
2017-10-27,Nashville Predators,2,Chicago Blackhawks,1,Regular,21524,151
2017-10-27,Ottawa Senators,4,New Jersey Devils,5,SO,13763,165
2017-10-27,Colorado Avalanche,0,Vegas Golden Knights,7,Regular,17702,155
2017-10-28,Los Angeles Kings,2,Boston Bruins,1,OT,17565,167
2017-10-28,San Jose Sharks,3,Buffalo Sabres,2,Regular,18892,149
2017-10-28,Chicago Blackhawks,3,Colorado Avalanche,6,Regular,17360,154
2017-10-28,Washington Capitals,5,Edmonton Oilers,2,Regular,18347,147
2017-10-28,Detroit Red Wings,3,Florida Panthers,2,SO,13085,179
2017-10-28,Pittsburgh Penguins,1,Minnesota Wild,2,Regular,19064,145
2017-10-28,New York Rangers,4,Montreal Canadiens,5,Regular,21302,158
2017-10-28,Arizona Coyotes,3,New Jersey Devils,4,Regular,15132,159
2017-10-28,New York Islanders,6,Nashville Predators,2,Regular,17113,148
2017-10-28,Columbus Blue Jackets,1,St. Louis Blues,4,Regular,17834,146
2017-10-28,Anaheim Ducks,4,Tampa Bay Lightning,1,Regular,19092,155
2017-10-28,Philadelphia Flyers,4,Toronto Maple Leafs,2,Regular,19317,153
2017-10-29,Anaheim Ducks,4,Carolina Hurricanes,3,SO,10108,156
2017-10-29,Washington Capitals,1,Calgary Flames,2,Regular,18327,148
2017-10-29,Pittsburgh Penguins,1,Winnipeg Jets,7,Regular,15321,151
2017-10-30,Boston Bruins,3,Columbus Blue Jackets,4,SO,13396,162
2017-10-30,Tampa Bay Lightning,8,Florida Panthers,5,Regular,9493,160
2017-10-30,Vegas Golden Knights,3,New York Islanders,6,Regular,11113,151
2017-10-30,Montreal Canadiens,8,Ottawa Senators,3,Regular,15069,155
2017-10-30,Arizona Coyotes,4,Philadelphia Flyers,3,OT,18731,164
2017-10-30,Toronto Maple Leafs,2,San Jose Sharks,3,Regular,17562,145
2017-10-30,Los Angeles Kings,2,St. Louis Blues,4,Regular,17423,153
2017-10-30,Dallas Stars,2,Vancouver Canucks,1,OT,17109,154
2017-10-31,Winnipeg Jets,2,Minnesota Wild,1,Regular,18814,149
2017-10-31,Vegas Golden Knights,4,New York Rangers,6,Regular,17294,153
2017-11-01,Toronto Maple Leafs,3,Anaheim Ducks,1,Regular,15628,148
2017-11-01,Philadelphia Flyers,0,Chicago Blackhawks,3,Regular,21524,150
2017-11-01,Pittsburgh Penguins,3,Edmonton Oilers,2,Regular,18347,155
2017-11-01,Nashville Predators,1,San Jose Sharks,4,Regular,16543,145
2017-11-01,New Jersey Devils,2,Vancouver Canucks,0,Regular,16855,148
2017-11-02,Buffalo Sabres,5,Arizona Coyotes,4,Regular,11477,140
2017-11-02,Vegas Golden Knights,1,Boston Bruins,2,Regular,17565,147
2017-11-02,Pittsburgh Penguins,1,Calgary Flames,2,OT,18837,152
2017-11-02,Carolina Hurricanes,3,Colorado Avalanche,5,Regular,12048,156
2017-11-02,Columbus Blue Jackets,7,Florida Panthers,3,Regular,9311,154
2017-11-02,Toronto Maple Leafs,3,Los Angeles Kings,5,Regular,18230,156
2017-11-02,Montreal Canadiens,3,Minnesota Wild,6,Regular,18924,156
2017-11-02,Detroit Red Wings,1,Ottawa Senators,3,Regular,14724,148
2017-11-02,Philadelphia Flyers,2,St. Louis Blues,0,Regular,17162,149
2017-11-02,New York Rangers,2,Tampa Bay Lightning,1,OT,19092,166
2017-11-02,Dallas Stars,2,Winnipeg Jets,5,Regular,15321,157
2017-11-02,New York Islanders,3,Washington Capitals,4,Regular,18506,144
2017-11-03,Nashville Predators,5,Anaheim Ducks,3,Regular,16523,152
